Date,open,high,low,close,volume,ticker
10-01-2023,14.56,15.2,14.56,15.19,31109866,AAL
13-02-2023,16.25,16.6,16.21,16.51,15649916,AAL
12-01-2023,16.03,16.9,15.875,16.83,96441833,AAL
13-01-2023,16.22,17.07,16.0101,17.02,50828019,AAL
17-01-2023,16.9,17.12,16.74,17.08,32875679,AAL
18-01-2023,17.53,17.64,16.595,16.64,42352629,AAL
19-01-2023,16.412,16.49,16.01,16.28,32630227,AAL
20-01-2023,16.37,16.535,16.14,16.34,22487696,AAL
23-01-2023,16.39,16.44,16.16,16.17,23408546,AAL
24-01-2023,16.01,16.43,15.96,16.02,21641482,AAL
26-01-2023,16.54,16.74,15.73,16.61,47488940,AAL
15-02-2023,16.64,16.84,16.58,16.8,12470209,AAL
27-01-2023,16.535,16.81,16.37,16.43,26257034,AAL
31-01-2023,16.01,16.24,15.91,16.14,19866928,AAL
01-02-2023,16.04,16.72,15.92,16.69,26925305,AAL
02-02-2023,16.73,17.3199,16.72,17.06,31552207,AAL
03-02-2023,16.85,17.22,16.85,17.02,22108170,AAL
06-02-2023,16.88,17.09,16.79,16.92,19340755,AAL
07-02-2023,16.92,17.03,16.54,16.96,19053422,AAL
08-02-2023,17.26,17.44,16.8,16.97,20774171,AAL
09-02-2023,17.11,17.16,16.5949,16.66,17558748,AAL
14-02-2023,16.49,16.85,16.33,16.79,17467935,AAL
22-03-2023,14.36,14.425,13.79,13.82,21378145,AAL
16-02-2023,16.59,16.67,16.36,16.39,15054680,AAL
30-01-2023,16.29,16.6,15.9101,15.96,23585954,AAL
20-03-2023,14.02,14.21,13.865,13.96,28076249,AAL
02-03-2023,15.88,16.15,15.73,16.12,11742387,AAL
17-02-2023,16.38,16.56,16.15,16.36,21921286,AAL
21-02-2023,16.06,16.2,15.52,15.69,24449005,AAL
22-02-2023,15.64,15.82,15.415,15.56,22273807,AAL
23-02-2023,15.66,16.17,15.5,15.87,25607057,AAL
24-02-2023,15.51,15.67,15.36,15.56,20471831,AAL
27-02-2023,15.74,15.8299,15.55,15.63,15494328,AAL
28-02-2023,15.55,16.05,15.53,15.98,15597789,AAL
01-03-2023,15.93,16.05,15.75,16.03,11730531,AAL
06-03-2023,16.47,16.55,16.1,16.12,13504758,AAL
07-03-2023,16.24,16.66,16.14,16.36,17951322,AAL
09-03-2023,16.55,16.8,15.845,15.88,18504951,AAL
03-03-2023,16.37,16.55,16.14,16.36,14389524,AAL
02-06-2023,14.9,15.07,14.64,14.87,31077149,AAL
08-03-2023,16.41,16.6,16.2701,16.59,11399587,AAL
10-03-2023,15.98,16,15.11,15.46,27280184,AAL
13-03-2023,15.02,15.26,14.69,14.85,32541745,AAL
14-03-2023,15.05,15.32,14.485,14.66,35258905,AAL
15-03-2023,14.24,14.42,13.51,13.86,41843676,AAL
16-03-2023,13.7,14.23,13.625,14.12,24581418,AAL
17-03-2023,13.95,14.17,13.67,13.98,31268835,AAL
21-03-2023,14.29,14.54,14.245,14.37,17788580,AAL
10-02-2023,16.41,16.4308,16.14,16.28,14210090,AAL
27-03-2023,13.96,14.055,13.71,13.94,17126662,AAL
25-01-2023,15.97,16.48,15.9,16.26,34131047,AAL
01-05-2023,13.6,14.03,13.52,13.89,29101810,AAL
27-04-2023,12.97,13.4,12.75,12.88,48367998,AAL
